"community","year","no2"
"EAST GARFIELD PARK",2018,16.7777462005615
"EAST GARFIELD PARK",2019,14.3419179916382
"EAST GARFIELD PARK",2020,15.7353200912476
"EAST GARFIELD PARK",2021,14.1536617279053
"EAST GARFIELD PARK",2022,14.0142364501953
"EAST SIDE",2011,17.1159515380859
"EAST SIDE",2012,15.878170967102
"EAST SIDE",2013,14.5033903121948
"EAST SIDE",2014,13.7000770568848
"EAST SIDE",2015,12.806713104248
"EAST SIDE",2016,12.4850902557373
"EAST SIDE",2017,12.7615127563477
"EAST SIDE",2018,12.2259769439697
"EAST SIDE",2019,11.2911195755005
"EAST SIDE",2020,11.8555555343628
"EAST SIDE",2021,11.4242382049561
"EAST SIDE",2022,11.0716886520386
"EDGEWATER",2011,21.3108062744141
"EDGEWATER",2012,19.9648132324219
"EDGEWATER",2013,18.5062885284424
"EDGEWATER",2014,17.9812908172607
"EDGEWATER",2015,17.512414932251
"EDGEWATER",2016,17.2888145446777
"EDGEWATER",2017,17.057300567627
"EDGEWATER",2018,17.4681186676025
"EDGEWATER",2019,13.8117656707764
"EDGEWATER",2020,15.3073434829712
"EDGEWATER",2021,13.5629281997681
"EDGEWATER",2022,13.2566032409668
"EDISON PARK",2011,19.8145351409912
"EDISON PARK",2012,18.914421081543
"EDISON PARK",2013,17.7999744415283
"EDISON PARK",2014,17.2854080200195
"EDISON PARK",2015,16.2760772705078
"EDISON PARK",2016,15.7750425338745
"EDISON PARK",2017,15.1829833984375
"EDISON PARK",2018,15.9910564422607
"EDISON PARK",2019,11.8462390899658
"EDISON PARK",2020,14.6766128540039
"EDISON PARK",2021,11.324423789978
"EDISON PARK",2022,11.5339870452881
"ENGLEWOOD",2011,21.2181167602539
"ENGLEWOOD",2012,19.4549198150635
"ENGLEWOOD",2013,17.8154010772705
"ENGLEWOOD",2014,16.8366889953613
"ENGLEWOOD",2015,16.0949897766113
"ENGLEWOOD",2016,15.4168462753296
"ENGLEWOOD",2017,15.4098434448242
"ENGLEWOOD",2018,15.1454200744629
"ENGLEWOOD",2019,12.8030138015747
"ENGLEWOOD",2020,14.7555160522461
"ENGLEWOOD",2021,12.8412590026855
"ENGLEWOOD",2022,12.0029850006104
"FOREST GLEN",2011,20.2699871063232
"FOREST GLEN",2012,19.2198390960693
"FOREST GLEN",2013,17.9908123016357
"FOREST GLEN",2014,17.4741477966309
"FOREST GLEN",2015,16.6526851654053
"FOREST GLEN",2016,16.2480392456055
"FOREST GLEN",2017,15.7810773849487
"FOREST GLEN",2018,16.450870513916
"FOREST GLEN",2019,12.0383548736572
"FOREST GLEN",2020,14.850513458252
"FOREST GLEN",2021,11.529109954834
"FOREST GLEN",2022,11.6738271713257
"FULLER PARK",2011,27.1940822601318
"FULLER PARK",2012,24.8076648712158
"FULLER PARK",2013,22.6576080322266
"FULLER PARK",2014,21.419376373291
"FULLER PARK",2015,20.5331478118896
"FULLER PARK",2016,19.6722354888916
"FULLER PARK",2017,19.6885547637939
"FULLER PARK",2018,19.3487949371338
"FULLER PARK",2019,14.3034191131592
"FULLER PARK",2020,18.6990871429443
"FULLER PARK",2021,14.3189840316772
"FULLER PARK",2022,13.3760614395142
"GAGE PARK",2011,21.1040706634521
"GAGE PARK",2012,20.0499382019043
"GAGE PARK",2013,18.6887168884277
"GAGE PARK",2014,17.6261558532715
"GAGE PARK",2015,16.532829284668
"GAGE PARK",2016,15.8128881454468
"GAGE PARK",2017,15.6661596298218
"GAGE PARK",2018,15.4079303741455
"GAGE PARK",2019,12.0725622177124
"GAGE PARK",2020,15.8487901687622
"GAGE PARK",2021,12.3347902297974
"GAGE PARK",2022,11.747410774231
"GARFIELD RIDGE",2011,19.9663410186768
"GARFIELD RIDGE",2012,19.0659770965576
"GARFIELD RIDGE",2013,17.5310020446777
"GARFIELD RIDGE",2014,16.3316173553467
"GARFIELD RIDGE",2015,15.484302520752
"GARFIELD RIDGE",2016,15.2947597503662
